ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,season,month
0,2022-01-01,202.0,9,31.97678701,66.82664513,5,0,45.44545504,Intermediate,Meat,Winter,1
1,2022-01-01,202.0,9,32.31875912,66.82664513,5,0,45.44545504,Intermediate,Meat,Winter,1
2,2022-01-01,202.0,9,31.97678701,66.82664513,5,0,45.44545504,Intermediate,Meat,Winter,1
3,2022-01-01,202.0,9,32.31875912,66.82664513,5,0,45.44545504,Intermediate,Meat,Winter,1
4,2022-01-02,448.0,16,10.09246361,56.13032726,6,0,29.8900387,Intermediate,Grains,Winter,1
5,2022-01-02,448.0,16,10.12862927,56.13032726,6,0,29.8900387,Intermediate,Grains,Winter,1
6,2022-01-02,448.0,16,10.09246361,56.13032726,6,0,29.8900387,Intermediate,Grains,Winter,1
7,2022-01-02,448.0,16,10.12862927,56.13032726,6,0,29.8900387,Intermediate,Grains,Winter,1
8,2022-01-03,370.0,14,30.75973332,64.63498385,0,0,41.55161544,Beginner,Vegetables,Winter,1
9,2022-01-03,370.0,14,30.49867294,64.63498385,0,0,41.55161544,Beginner,Vegetables,Winter,1
10,2022-01-03,370.0,14,30.49867294,64.63498385,0,0,41.55161544,Beginner,Vegetables,Winter,1
11,2022-01-03,370.0,14,30.75973332,64.63498385,0,0,41.55161544,Beginner,Vegetables,Winter,1
15,2022-01-04,206.0,11,15.71562904,74.2841474,1,0,22.28191873,Beginner,Meat,Winter,1
14,2022-01-04,206.0,11,15.74021462,74.2841474,1,0,22.28191873,Beginner,Meat,Winter,1
12,2022-01-04,373.5128491620112,11,15.74021462,74.2841474,1,0,22.28191873,Beginner,Meat,Winter,1
13,2022-01-04,206.0,11,15.71562904,74.2841474,1,0,22.28191873,Beginner,Meat,Winter,1
16,2022-01-05,171.0,13,32.71753273,78.37175286,2,0,34.98205377,Beginner,Dairy,Winter,1
17,2022-01-05,171.0,13,32.4402815,78.37175286,2,0,34.98205377,Beginner,Dairy,Winter,1
18,2022-01-05,171.0,13,32.71753273,78.37175286,2,0,34.98205377,Beginner,Dairy,Winter,1
19,2022-01-05,171.0,13,32.4402815,78.37175286,2,0,34.98205377,Beginner,Dairy,Winter,1
20,2022-01-06,288.0,5,9.865658956,80.62423958,3,0,49.49759891,Beginner,Meat,Winter,1
21,2022-01-06,288.0,5,9.865658956,80.62423958,3,0,49.49759891,Beginner,Meat,Winter,1
22,2022-01-06,288.0,5,10.02800279,80.62423958,3,0,49.49759891,Beginner,Meat,Winter,1
23,2022-01-06,288.0,5,10.02800279,80.62423958,3,0,49.49759891,Beginner,Meat,Winter,1
24,2022-01-07,120.0,11,23.90454338,45.23849247,4,0,15.15774757,Beginner,Meat,Winter,1
25,2022-01-07,120.0,11,23.89489382,45.23849247,4,0,15.15774757,Beginner,Meat,Winter,1
26,2022-01-07,120.0,11,23.90454338,45.23849247,4,0,15.15774757,Beginner,Meat,Winter,1
27,2022-01-07,120.0,12,23.89489382,45.23849247,4,0,15.15774757,Beginner,Meat,Winter,1
31,2022-01-08,202.0,10,28.91589509,31.866936,5,0,22.54548858,Intermediate,Meat,Winter,1
30,2022-01-08,202.0,10,28.73278065,31.866936,5,0,22.54548858,Intermediate,Meat,Winter,1
28,2022-01-08,202.0,10,28.73278065,31.866936,5,0,22.54548858,Intermediate,Meat,Winter,1
29,2022-01-08,202.0,10,28.91589509,31.866936,5,0,22.54548858,Intermediate,Meat,Winter,1
32,2022-01-10,314.0,18,14.82832161,36.38062358,0,0,11.21069692,Beginner,Meat,Winter,1
33,2022-01-10,314.0,18,14.82832161,36.38062358,0,0,11.21069692,Beginner,Meat,Winter,1
34,2022-01-10,314.0,18,14.66571445,36.38062358,0,0,11.21069692,Beginner,Meat,Winter,1
35,2022-01-10,314.0,18,14.66571445,36.38062358,0,0,11.21069692,Beginner,Meat,Winter,1
36,2022-01-11,430.0,16,11.72529559,48.89517532,1,0,8.646737471,Beginner,Meat,Winter,1
37,2022-01-11,430.0,16,12.10245561,48.89517532,1,0,8.646737471,Beginner,Meat,Winter,1
38,2022-01-11,430.0,16,11.72529559,48.89517532,1,0,8.646737471,Beginner,Meat,Winter,1
39,2022-01-11,430.0,16,12.10245561,48.89517532,1,0,8.646737471,Beginner,Meat,Winter,1
43,2022-01-12,187.0,13,17.74548202,30.22902805,2,0,42.33752898,Expert,Meat,Winter,1
40,2022-01-12,187.0,13,18.16083941,30.22902805,2,0,42.33752898,Expert,Meat,Winter,1
41,2022-01-12,187.0,13,18.16083941,30.22902805,2,0,42.33752898,Expert,Meat,Winter,1
42,2022-01-12,187.0,13,17.74548202,30.22902805,2,0,42.33752898,Expert,Meat,Winter,1
47,2022-01-13,472.0,5,23.54260385,70.90016894,3,1,48.95574678,Expert,Meat,Winter,1
46,2022-01-13,472.0,5,23.54260385,70.90016894,3,1,48.95574678,Expert,Meat,Winter,1
44,2022-01-13,472.0,5,23.99610781,70.90016894,3,1,48.95574678,Expert,Meat,Winter,1
45,2022-01-13,472.0,5,23.99610781,70.90016894,3,1,48.95574678,Beginner,Meat,Winter,1
48,2022-01-15,696.0,8,19.41738405,69.31694458,5,0,8.944242629,Beginner,Meat,Winter,1
49,2022-01-15,696.0,8,19.26109114,69.31694458,5,0,8.944242629,Beginner,Meat,Winter,1
50,2022-01-15,696.0,8,19.41738405,69.31694458,5,0,8.944242629,Beginner,Meat,Winter,1
51,2022-01-15,696.0,8,19.26109114,69.31694458,5,0,8.944242629,Beginner,Meat,Winter,1
54,2022-01-16,251.0,13,10.22681012,89.50455703,6,0,7.961529231,Beginner,Grains,Winter,1
52,2022-01-16,251.0,13,10.32068192,89.50455703,6,0,7.961529231,Beginner,Grains,Winter,1
53,2022-01-16,251.0,13,10.32068192,89.50455703,6,0,7.961529231,Beginner,Grains,Winter,1
55,2022-01-16,251.0,13,10.22681012,89.50455703,6,0,7.961529231,Beginner,Grains,Winter,1
59,2022-01-19,696.0,7,17.08357371,50.42280556,2,0,19.40122925,Intermediate,Vegetables,Winter,1
58,2022-01-19,696.0,7,17.39195614,50.42280556,2,0,19.40122925,Intermediate,Vegetables,Winter,1
56,2022-01-19,696.0,7,17.08357371,50.42280556,2,0,19.40122925,Intermediate,Vegetables,Winter,1
57,2022-01-19,696.0,7,17.39195614,50.42280556,2,0,19.40122925,Intermediate,Vegetables,Winter,1
60,2022-01-20,357.0,13,10.48122008,81.98319086,3,0,26.44075721,Beginner,Vegetables,Winter,1
61,2022-01-20,357.0,13,10.46069297,81.98319086,3,0,26.44075721,Beginner,Vegetables,Winter,1
62,2022-01-20,357.0,13,10.48122008,81.98319086,3,0,26.44075721,Beginner,Vegetables,Winter,1
63,2022-01-20,357.0,13,10.46069297,81.98319086,3,0,26.44075721,Beginner,Vegetables,Winter,1
64,2022-01-21,443.0,17,20.8060196,42.93179213,4,0,19.32368426,Beginner,Dairy,Winter,1
65,2022-01-21,443.0,17,20.8060196,42.93179213,4,0,19.32368426,Beginner,Dairy,Winter,1
66,2022-01-21,443.0,17,21.03022943,42.93179213,4,0,19.32368426,Beginner,Dairy,Winter,1
67,2022-01-21,443.0,17,21.03022943,42.93179213,4,0,19.32368426,Beginner,Meat,Winter,1
68,2022-01-22,393.0,6,31.00303757,51.6226692,5,0,27.00660989,Intermediate,Vegetables,Winter,1
69,2022-01-22,393.0,6,30.86936609,51.6226692,5,0,27.00660989,Intermediate,Vegetables,Winter,1
70,2022-01-22,393.0,6,30.86936609,51.6226692,5,0,27.00660989,Intermediate,Vegetables,Winter,1
71,2022-01-22,393.0,6,31.00303757,51.6226692,5,0,27.00660989,Intermediate,Vegetables,Winter,1
75,2022-01-23,485.0,19,19.34055808,34.1103244,6,0,43.68003786,Intermediate,Meat,Winter,1
74,2022-01-23,485.0,19,19.80378029,34.1103244,6,0,43.68003786,Intermediate,Meat,Winter,1
72,2022-01-23,485.0,19,19.34055808,34.1103244,6,0,43.68003786,Intermediate,Meat,Winter,1
73,2022-01-23,485.0,19,19.80378029,34.1103244,6,0,43.68003786,Intermediate,Meat,Winter,1
76,2022-01-24,291.0,8,14.48743309,75.78931748,0,1,31.6535617,Intermediate,Wheat,Winter,1
